_sha,_status,_applied_params_hash,_residual,_elapsed_ms,_num_variables,_num_constraints,_num_conflicts,_num_branches,_num_binary_propagations,_num_integer_propagations,_num_restarts,n_vars,n_cons,n_enforce,linear_coef_max,linear_terms_max,linear_terms_total,domain_size_max,domain_size_median,wide_int_count,domain_max,has_objective,objective_terms,n_assumptions,n_search_strategy,kind_linear,kind_bool_or,kind_bool_and,kind_at_most_one,kind_exactly_one,kind_bool_xor,kind_all_diff,kind_element,kind_circuit,kind_routes,kind_table,kind_automaton,kind_inverse,kind_reservoir,kind_interval,kind_no_overlap,kind_no_overlap_2d,kind_cumulative,kind_lin_max,kind_int_div,kind_int_mod,kind_int_prod
26f53ed6235393586f5beac50e9c02ddb551c8112f394470fa9f3c1764d3c5b0,OPTIMAL,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,0.7188228191471246,856786,17076,192805,218233,1168305,240841668,68122509,977,79711,192805,157488,1.0,161,139823,2000000001.0,2.0,5505,1000000000,False,0,0,0,88116,63144,40927,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
083beb025bc59908b1bdace2fac047f8f204cdb3fc4f947c0af0327a928abdcf,OPTIMAL,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,0.6452098909063135,686113,17058,190773,210392,952603,271814160,67147700,801,78841,190773,155304,1.0,161,138533,2000000001.0,2.0,5493,1000000000,False,0,0,0,86709,62771,40675,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bc676605802ed5fb85e5006a7df234667d32237dd086e56b2a8bd20a578155e4,OPTIMAL,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,0.6308698262064754,837165,17070,199450,213359,1171620,249450762,71481083,923,82555,199450,163626,1.0,161,146819,2000000001.0,2.0,5505,1000000000,False,0,0,0,92226,64869,41737,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9c5486163986ecf6d1316c2ad9ab5a154f3847a1b7e01d23f2ad6251435b68dd,OPTIMAL,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,0.6033156870934357,1312210.0,20853,245972,261411,1407886,298239744,91900563,1400,101863,245972,202793,1.0,191,182072,2000000001.0,2.0,6906,1000000000,False,0,0,0,115320,79251,50674,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303a6733c9ec03beaf7942544bf89ce2ecba38c65ae2e6a93e248b36e6b7fc2a,OPTIMAL,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,0.5798136104655174,3530.81,1850,20766,379,11971,482190,259585,3,8767,20766,16544,1.0,26,14008,2000000001.0,2.0,819,1000000000,False,0,0,0,8617,7156,4891,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d8130c88625b627297a53f53c8e762e3364a3a80df8f3c156308af5f39bfd89d,OPTIMAL,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,0.5104993662822994,3748.33,1850,21650,531,12139,533981,281523,3,9151,21650,17372,1.0,26,14772,2000000001.0,2.0,819,1000000000,False,0,0,0,9113,7404,5031,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e2b2952cbec18758e829524bf6dbc3429f6a22fa6d02d67a9a769b04e568acda,OPTIMAL,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,0.45256432545942227,2894.64,1739,20421,229,7101,331230,163477,1,8625,20421,16321,1.0,26,13479,2000000001.0,2.0,666,1000000000,False,0,0,0,8377,7095,4846,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471adab20a3091cc680bb5711324febc0100c3a3ef98bc2c30d1f5812cff17ce,OPTIMAL,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,0.44623053094988485,3311.66,1863,21835,303,10282,415999,213023,1,9208,21835,17518,1.0,26,14816,2000000001.0,2.0,773,1000000000,False,0,0,0,9198,7475,5059,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202fbcb0eaf3a2173b0d1f86dc29d0d1f31403f91ef9ffc3b4539a004d4291d0,OPTIMAL,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,0.4435643369239455,3024.07,1674,20236,310,10067,340378,170355,3,8547,20236,16105,1.0,26,13143,2000000001.0,2.0,730,1000000000,False,0,0,0,8038,7111,4985,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b040ac13f61b42c52e957df48581cfd54d36eedaad63da36839fdde9183dece6,OPTIMAL,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,0.43988588482448865,3052.7,1766,20923,228,10193,374340,189319,1,8812,20923,16689,1.0,26,13886,2000000001.0,2.0,725,1000000000,False,0,0,0,8527,7278,5016,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c0a0dc04538c4ae54401b99c91b6b743811aab04bbc638360c16b4fc9b915728,OPTIMAL,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,0.43851503778542833,4920.17,2199,25921,712,19587,622076,306569,9,10942,25921,20513,1.0,36,16398,2000000001.0,2.0,973,1000000000,False,0,0,0,10033,9211,6545,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
834873ba45a488c7f8b1d6ad0d1d689ce41cb19ae9186807eabc801920b926a5,OPTIMAL,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,0.42543640356891776,3081.59,1850,21650,794,13010,566747,290602,6,9151,21650,17372,1.0,26,14772,2000000001.0,2.0,819,1000000000,False,0,0,0,9113,7404,5031,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a87f850d84c25316081211e9935add586d4abd88a36e386cc59db72975479dc9,OPTIMAL,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,0.4217202793170176,180.457,715,7423,560,4544,30469,43812,5,3182,7423,5763,1.0,11,4723,2000000001.0,2.0,304,1000000000,False,0,0,0,2912,2643,1822,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c4fe2cc04ae7a35679d2f3e71e91d1476eaaa48ed0e0eea02642695224d1a3a5,OPTIMAL,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,0.41361338316732565,4839.59,2326,26958,2116,24405,946049,442534,12,11385,26958,21437,1.0,36,17561,2000000001.0,2.0,1042,1000000000,False,0,0,0,10767,9444,6614,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9c6904d7802ccf85e6e37fed810f6c741d114f7244b89d3d8801e90f0cf52cf4,OPTIMAL,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,0.403130605161544,3212.27,1977,22871,822,11048,635610,304646,6,9638,22871,18389,1.0,26,15794,2000000001.0,2.0,826,1000000000,False,0,0,0,9837,7747,5183,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7b9053fb13e462eae04cb54e9e64f7929247a3ece739347a45fdc8deacd46646,OPTIMAL,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,0.39503502501284604,2916.72,1859,21771,399,10761,460076,229866,3,9180,21771,17453,1.0,26,14792,2000000001.0,2.0,771,1000000000,False,0,0,0,9180,7449,5039,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c0bbae62f14d03166e20cbff5fabab7917480464a9baf804ec42409b26e0d32c,OPTIMAL,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,0.39114990000400063,400652,17070,192562,122197,544974,158611075,37718100,536,79465,192562,157008,1.0,161,139823,2000000001.0,2.0,5505,1000000000,False,0,0,0,88116,63141,40687,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63f1e1c6c7452e11af1db799f7a380dabc9c9b6edb7083f59d57c4952dfdb16d,OPTIMAL,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,0.38764579685835177,2893.75,1863,21835,382,10557,472961,227459,3,9208,21835,17518,1.0,26,14816,2000000001.0,2.0,773,1000000000,False,0,0,0,9198,7475,5059,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
